,TI,AB,CARP (Yes/No),Exact/Lower-Bounds,Heuristics,Evolutionary,Variant,Alt_variant,Investigate,Comments,Source
"MANDAL SK, 2015, J HEURISTICS",A MEMETIC NSGA-II FOR THE BI-OBJECTIVE MIXED CAPACITATED GENERAL ROUTING PROBLEM,"THE MIXED CAPACITATED GENERAL ROUTING PROBLEM (MCGRP) IS CONCERNED WITH THE DETERMINATION OF THE OPTIMAL VEHICLE ROUTES TO SERVICE A SET OF CUSTOMERS LOCATED AT NODES AND ALONG EDGES OR ARCS ON A MIXED WEIGHTED GRAPH REPRESENTING A COMPLETE TRANSPORTATION NETWORK. ALTHOUGH MCGRP GENERALIZES MANY OTHER ROUTING PROBLEMS AND YIELDS BETTER MODELS FOR SEVERAL PRACTICAL PROBLEMS SUCH AS NEWSPAPER DELIVERY AND URBAN WASTE COLLECTION, THIS IS STILL AN UNDERINVESTIGATED PROBLEM. FURTHERMORE, MOST OF THE STUDIES HAVE FOCUSED ON THE OPTIMIZATION OF JUST ONE OBJECTIVE, THAT IS, COST MINIMIZATION. KEEPING IN MIND THE REQUIREMENT OF INDUSTRIES NOWADAYS, MCGRP HAS BEEN ADDRESSED IN THIS PAPER TO CONCURRENTLY OPTIMIZE TWO CRUCIAL OBJECTIVES, NAMELY, MINIMIZATION OF ROUTING COST AND ROUTE IMBALANCE. TO SOLVE THIS BI-OBJECTIVE FORM OF MCGRP, A MULTI-OBJECTIVE EVOLUTIONARY ALGORITHM (MOEA), COINED AS MEMETIC NSGA-II, HAS BEEN DESIGNED. IT IS A HYBRID OF NON-DOMINATED SORTING GENETIC ALGORITHM-II (NSGA-II), A DOMINANCE BASED LOCAL SEARCH PROCEDURE (DBLSP), AND A CLONE MANAGEMENT PRINCIPLE (CMP). THE DBLSP AND CMP HAVE BEEN INCORPORATED INTO THE FRAMEWORK OF NSGA-II WITH A VIEW TO EMPOWERING ITS CAPABILITY TO CONVERGE AT/OR NEAR THE TRUE PARETO FRONT AND BOOSTING DIVERSITY AMONG THE TRADE-OFF SOLUTIONS, RESPECTIVELY. IN ADDITION, THE ALGORITHM ALSO CONTAINS A SET OF THREE WELL-KNOWN CROSSOVER OPERATORS (X-SET) THAT ARE EMPLOYED TO EXPLORE DIFFERENT PARTS OF THE SEARCH SPACE. THE ALGORITHM WAS TESTED ON A STANDARD BENCHMARK OF TWENTY THREE STANDARD MCGRP INSTANCES OF VARYING COMPLEXITY. THE COMPUTATIONAL EXPERIMENTS VERIFY THE EFFECTIVENESS OF MEMETIC NSGA-II AND ALSO SHOW THE ENERGETIC EFFECTS OF USING DBLSP, CMP AND X-SET TOGETHER WHILE FINDING THE SET OF POTENTIALLY PARETO OPTIMAL SOLUTIONS.",1,0,1,1,Bi-objective Mixed General Routing Problem,Bi-objective Mixed Capacitated General Routing Problem,,,
"HALVORSEN-WEARE EE, 2016, EUR J OPER RES",THE BI-OBJECTIVE MIXED CAPACITATED GENERAL ROUTING PROBLEM WITH DIFFERENT ROUTE BALANCE CRITERIA,"IN THE MIXED CAPACITATED GENERAL ROUTING PROBLEM, ONE SEEKS TO DETERMINE A MINIMUM COST SET OF VEHICLE ROUTES SERVING SEGMENTS OF A MIXED NETWORK CONSISTING OF NODES, EDGES, AND ARCS. WE STUDY A BI-OBJECTIVE VARIANT OF THE PROBLEM, IN WHICH, IN ADDITION TO SEEKING A SET OF ROUTES OF LOW COST, ONE SIMULTANEOUSLY SEEKS A SET OF ROUTES IN WHICH THE WORK LOAD IS BALANCED. DUE TO THE CONFLICT BETWEEN THE OBJECTIVES, FINDING A SOLUTION THAT SIMULTANEOUSLY OPTIMIZES BOTH OBJECTIVES IS USUALLY IMPOSSIBLE. THUS, WE SEEK TO GENERATE MANY OR ALL EFFICIENT, OR PARETO-OPTIMAL, SOLUTIONS, I.E., SOLUTIONS IN WHICH IT IS IMPOSSIBLE TO IMPROVE THE VALUE OF ONE OBJECTIVE WITHOUT DETERIORATION IN THE VALUE OF THE OTHER OBJECTIVE. ROUTE BALANCE CAN BE MODELED IN DIFFERENT WAYS, AND A COMPUTATIONAL STUDY USING SMALL BENCHMARK INSTANCES OF THE MIXED CAPACITATED GENERAL ROUTING PROBLEM DEMONSTRATES THAT THE CHOICE OF ROUTE BALANCE MODELING HAS A SIGNIFICANT IMPACT ON THE NUMBER AND DIVERSITY OF PARETO-OPTIMAL SOLUTIONS. THE RESULTS OF THE COMPUTATIONAL STUDY SUGGEST THAT MODELING ROUTE BALANCE IN TERMS OF THE DIFFERENCE BETWEEN THE LONGEST AND SHORTEST ROUTE IN A SOLUTION IS A ROBUST CHOICE THAT PERFORMS WELL ACROSS A VARIETY OF INSTANCES. (C) 2015 ELSEVIER B.V. ALL RIGHTS RESERVED.",1,0,1,0,Bi-objective Mixed Capacitated General Routing Problem,Bi-objective Mixed Capacitated General Routing Problem,,,
"FERNANDEZ E, 2018, TRANSP SCI",A BRANCH-AND-CUT ALGORITHM FOR THE MULTIDEPOT RURAL POSTMAN PROBLEM,"THIS PAPER CONSIDERS THE MULTIDEPOT RURAL POSTMAN PROBLEM, AN EXTENSION OF THE CLASSICAL RURAL POSTMAN PROBLEM IN WHICH THERE ARE SEVERAL DEPOTS INSTEAD OF ONLY ONE. THE AIM IS TO CONSTRUCT A MINIMUM COST SET OF ROUTES TRAVERSING EACH REQUIRED EDGE OF THE GRAPH, WHERE EACH ROUTE STARTS AND ENDS AT THE SAME DEPOT. THE PAPER MAKES THE FOLLOWING SCIENTIFIC CONTRIBUTIONS: (I) IT PRESENTS OPTIMALITY CONDITIONS AND A WORST CASE ANALYSIS FOR THE PROBLEM, (II) IT PROPOSES A COMPACT INTEGER LINEAR PROGRAMMING FORMULATION CONTAINING ONLY BINARY VARIABLES, AS WELL AS A POLYHEDRAL ANALYSIS, (III) IT DEVELOPS A BRANCH-AND-CUT ALGORITHM THAT INCLUDES SEVERAL NEW EXACT AND HEURISTIC SEPARATION PROCEDURES. INSTANCES INVOLVING UP TO FOUR DEPOTS, 744 VERTICES, AND 1,315 EDGES ARE SOLVED TO OPTIMALITY. THESE INSTANCES CONTAIN UP TO 140 REQUIRED COMPONENTS AND 1,000 REQUIRED EDGES.",0,,,,,Capacitated Arc Routing Problem,,,
"MARTINELLI R, 2011, EXPERIMENTAL ALGORITHMS",A BRANCH-CUT-AND-PRICE ALGORITHM FOR THE CAPACITATED ARC ROUTING PROBLEM,"ARC ROUTING PROBLEMS ARE AMONG THE MOST CHALLENGING COMBINATORIAL OPTIMIZATION PROBLEMS. WE TACKLE THE CAPACITATED ARC ROUTING PROBLEM WHERE DEMANDS ARE SPREAD OVER A SUBSET OF THE EDGES OF A GIVEN GRAPH, CALLED THE REQUIRED EDGE SET. COSTS FOR TRAVERSING EDGES, DEMANDS ON THE REQUIRED ONES AND THE CAPACITY OF THE AVAILABLE IDENTICAL VEHICLES AT A VERTEX DEPOT ARE GIVEN. ROUTES THAT COLLECT ALL THE DEMANDS AT MINIMUM COST ARE SOUGHT. IN THIS WORK, WE DEVISE A BRANCH-CUT-AND-PRICE ALGORITHM FOR THE CAPACITATED ARC ROUTING PROBLEM USING A COLUMN GENERATION WHICH GENERATES NON-ELEMENTARY ROUTES (USUALLY CALLED Q-ROUTES) AND EXACT SEPARATION OF ODD EDGE CUTSET AND CAPACITY CUTS. COMPUTATIONAL EXPERIMENTS REPORT ONE NEW OPTIMAL AND TWELVE NEW LOWER BOUNDS.",1,1,0,0,Capacitated Arc Routing Problem,Capacitated Arc Routing Problem,,,
"FOULDS L, 2015, ANN OPER RES",A COMPACT TRANSFORMATION OF ARC ROUTING PROBLEMS INTO NODE ROUTING PROBLEMS,"WE DESCRIBE A COMPACT METHOD TO TRANSFORM ARC ROUTING PROBLEM INSTANCES INTO NODE ROUTING PROBLEM INSTANCES. ANY NODE ROUTING PROBLEM INSTANCE THUS CREATED MUST BE SOLVED BY A BRANCH-AND-PRICE PROCESS, SUCH AS THE ONE DESCRIBED IN THIS PAPER. THE PURPOSE IS TO MAKE THE NUMBER OF NODES IN THE RESULTING TRANSFORMED GRAPHS GREATER BY ONLY ONE UNIT THAN THE NUMBER OF REQUIRED ARCS (ARCS HAVING DEMAND) IN THE ORIGINAL GRAPH, THAT IS, NODES. THIS LOW INCREASE IN THE NUMBER OF NODES REPRESENTS AN IMPROVEMENT COMPARED TO THE METHODS PREVIOUSLY PRESENTED BY PEARN, ASSAD AND GOLDEN ( NODES) AND BY LONGO, POGGI DE ARAGO AND UCHOA AND ALSO BY BALDACCI AND MANIEZZO ( NODES). USING AN ADAPTED VERSION OF AN EXISTING BRANCH-CUT-AND-PRICE ALGORITHM FOR A CAPACITATED NODE ROUTING PROBLEM ON THE TRANSFORMED GRAPH RESULTS IN AN EFFECTIVE APPROACH FOR A CAPACITATED ARC ROUTING PROBLEM. COMPUTATIONAL EXPERIMENTS USING THIS APPROACH PRODUCED USEFUL LOWER BOUNDS IN REASONABLE COMPUTATIONAL TIME FOR MANY CHALLENGING NUMERICAL INSTANCES FROM THE LITERATURE. ADDITIONALLY, SOME SUCH PREVIOUSLY OPEN INSTANCES WERE SOLVED TO OPTIMALITY FOR THE FIRST TIME.",1,1,0,0,Capacitated Arc Routing Problem,Capacitated Arc Routing Problem,,,
"BELENGUER JM, 2003, COMPUT OPER RES",A CUTTING PLANE ALGORITHM FOR THE CAPACITATED ARC ROUTING PROBLEM,"THE CAPACITATED ARC ROUTING PROBLEM (CARP) CONSISTS OF FINDING A SET OF MINIMUM COST ROUTES THAT SERVICE ALL THE POSITIVE-DEMAND EDGES OF A GIVEN GRAPH, SUBJECT TO CAPACITY RESTRICTIONS. IN THIS PAPER, WE INTRODUCE SOME NEW VALID INEQUALITIES FOR THE CARP. WE HAVE DESIGNED AND IMPLEMENTED A CUTTING PLANE ALGORITHM FOR THIS PROBLEM BASED ON THESE NEW INEQUALITIES AND SOME OTHER WHICH WERE ALREADY KNOWN. SEVERAL IDENTIFICATION ALGORITHMS HAVE BEEN DEVELOPED FOR ALL THESE VALID INEQUALITIES. THIS CUTTING PLANE ALGORITHM HAS BEEN APPLIED TO THREE SETS OF INSTANCES TAKEN FROM THE LITERATURE AS WELL AS TO A NEW SET OF INSTANCES WITH REAL DATA, AND THE RESULTING LOWER BOUND WAS OPTIMAL IN 47 OUT OF THE 87 INSTANCES TESTED. FURTHERMORE, FOR ALL THE INSTANCES TESTED, OUR ALGORITHM OUTPERFORMED ALL THE EXISTING LOWER BOUNDING PROCEDURES FOR THE CARP.",1,1,0,0,Capacitated Arc Routing Problem,Capacitated Arc Routing Problem,,,
"WOHLK S, 2008, VEHICLE ROUTING PROBLEM: LATEST ADVANCES AND NEW CHALLENGES",A DECADE OF CAPACITATED ARC ROUTING,"ARC ROUTING IS THE ARC COUNTERPART TO NODE ROUTING IN THE SENSE THAT FOCUS REGARDING SERVICE AND RESOURCE CONSTRAINTS ARE ON THE ARCS AND NOT ON THE NODES. THE KEY PROBLEM WITHIN THIS AREA IS THE CAPACITATED ARC ROUTING PROBLEM (CARP), WHICH IS THE ARC ROUTING COUNTERPART TO THE VEHICLE ROUTING PROBLEM. DURING THE LAST DECADE, ARC ROUTING HAS BEEN A RELATIVELY ACTIVE RESEARCH AREA WITH RESPECT TO LOWER BOUNDING PROCEDURES, SOLUTION APPROACHES AND MODELING. FURTHERMORE, SEVERAL INTERESTING VARIATIONS OF THE PROBLEM HAVE BEEN STUDIED. WE SURVEY THE LATEST RESEARCH WITHIN THE AREA OF ARC ROUTING FOCUSING MAINLY ON THE CARP AND ITS VARIANTS.",1,0,0,0,Capacitated Arc Routing Problem,Capacitated Arc Routing Problem,,Review,
"BRANDAO J, 2008, COMPUT OPER RES",A DETERMINISTIC TABU SEARCH ALGORITHM FOR THE CAPACITATED ARC ROUTING PROBLEM,THE CAPACITATED ARC ROUTING PROBLEM (CARP) IS A DIFFICULT OPTIMISATION PROBLEM IN VEHICLE ROUTING WITH APPLICATIONS WHERE A SERVICE MUST BE PROVIDED BY A SET OF VEHICLES ON SPECIFIED ROADS. A HEURISTIC ALGORITHM BASED ON TABU SEARCH IS PROPOSED AND TESTED ON VARIOUS SETS OF BENCHMARK INSTANCES. THE COMPUTATIONAL RESULTS SHOW THAT THE PROPOSED ALGORITHM PRODUCES HIGH QUALITY RESULTS WITHIN A REASONABLE COMPUTING TIME. SOME NEW BEST SOLUTIONS ARE REPORTED FOR A SET OF TEST PROBLEMS USED IN THE LITERATURE. (C) 2006 ELSEVIER LTD. ALL RIGHTS RESERVED.,1,0,1,0,Capacitated Arc Routing Problem,Capacitated Arc Routing Problem,,,
"WOHLK S, 2018, J OPER RES SOC",A FAST HEURISTIC FOR LARGE-SCALE CAPACITATED ARC ROUTING PROBLEMS,"THE PURPOSE OF THIS PAPER IS TO DEVELOP A FAST HEURISTIC CALLED FASTCARP FOR THE SOLUTION OF LARGE-SCALE CAPACITATED ARC ROUTING PROBLEMS, WITH OR WITHOUT DURATION CONSTRAINTS. THIS STUDY IS MOTIVATED BY A WASTE COLLECTION PROBLEM IN DENMARK. AFTER A PREPROCESSING PHASE, FASTCARP CREATES A GIANT TOUR, PARTITIONS THE GRAPH INTO DISTRICTS, AND CONSTRUCT ROUTES WITHIN EACH DISTRICT. IT THEN ITERATIVELY MERGES AND SPLITS ADJACENT DISTRICTS AND REOPTIMISES THE ROUTES. THE HEURISTIC WAS TESTED ON 264 BENCHMARK INSTANCES CONTAINING UP TO 11,640 NODES, 12,675 EDGES, 8581 REQUIRED EDGES, AND 323 VEHICLES. FASTCARP WAS COMPARED WITH AN ALTERNATIVE HEURISTIC CALLED BASE AND WITH SEVERAL PATH-SCANNING ALGORITHMS. ON SMALL GRAPHS, IT WAS BETTER BUT SLOWER THAN BASE. ON LARGER GRAPHS, IT WAS MUCH FASTER AND ONLY SLIGHTLY WORSE THAN BASE IN TERMS OF SOLUTION QUALITY. IT ALSO OUTPERFORMS THE PATH-SCANNING ALGORITHMS.",1,0,1,0,Capacitated Arc Routing Problem,Capacitated Arc Routing Problem,,,
"DENG X, 2007, 2007 IEEE INTERNATIONAL CONFERENCE ON AUTOMATION AND LOGISTICS, VOLS 1-6",A GENETIC ALGORITHM FOR THE CAPACITATED ARC ROUTING PROBLEM,"IN THIS PAPER, THE GENETIC ALGORITHM(GA) IS USED TO RESOLVE THE CAPACITATED ARC ROUTING PROBLEM(CARP), THE CASE OF WHICH STEMS FROM ASSIGNING THE ROUTING OF SPRINKLER CARS IN REAL LIFE. AND THE PAPER PRESENTS BASIC COMPONENTS OF GA COMBINED WITH THE CROSSOVER, MUTATION AND LOACH SEARCH OPERATION. THESE NEW METHODS ARE HELPFUL FOR THE GLOBAL SEARCH OF CARP PROBLEM. THE TEST DATA IS COMING FROM REAL WORLD, OFFERED BY THE SANITATION DEPARTMENT-THE OWNER OF THE SPRINKLER CARS. FURTHERMORE, THE CONTRASTIVE EXPERIMENT WHICH HAS BEEN DONE IN THIS PAPER ILLUSTRATES THAT THIS GA METHOD IS MORE EXCELLENT THAN OTHER EXISTING ALGORITHMS IN RESOLVING THIS KIND OF CARP. AS FOR THE PRATICAL MEANING OF THIS RESEARCH, THE ROUTING PLAN PROPOSED MAY PROVIDE HIGH EFFICIENCY FOR THE DEPARTMENT AND WILL BRING ABOUT SIGNIFICANT ECONOMIC BENEFITS.",1,0,1,1,Capacitated Arc Routing Problem,Capacitated Arc Routing Problem,,,
"MEI Y, 2009, IEEE TRANS SYST MAN CYBERN PART B-CYBERN",A GLOBAL REPAIR OPERATOR FOR CAPACITATED ARC ROUTING PROBLEM,"CAPACITATED ARC ROUTING PROBLEM (CARP) HAS ATTRACTED MUCH ATTENTION DURING THE LAST FEW-YEARS DUE TO ITS WIDE APPLICATIONS IN REAL LIFE. SINCE CARP IS NP-HARD AND EXACT METHODS ARE ONLY APPLICABLE FOR SMALL INSTANCES, HEURISTICS AND METAHEURISTIC METHODS ARE WIDELY ADOPTED WHEN SOLVING CARP. THIS PAPER DEMONSTRATES ONE MAJOR DISADVANTAGE ENCOUNTERED BY TRADITIONAL SEARCH ALGORITHMS AND PROPOSES A NOVEL OPERATOR NAMED GLOBAL REPAIR OPERATOR (GRO) TO ADDRESS IT. WE FURTHER EMBED GRO IN A RECENTLY PROPOSED TABU SEARCH ALGORITHM (TSA) AND APPLY THE RESULTANT REPAIR-BASED TABU SEARCH (RTS) ALGORITHM TO FIVE WELL-KNOWN BENCHMARK TEST SETS. EMPIRICAL RESULTS SUGGEST THAT RTS NOT ONLY OUTPERFORMS TSA IN TERMS OF QUALITY OF SOLUTIONS BUT ALSO CONVERGES TO THE SOLUTIONS FASTER. MOREOVER, RTS IS ALSO COMPETITIVE WITH A NUMBER OF STATE-OF-THE-ART APPROACHES FOR CARP. THE EFFICACY OF GRO IS THEREBY JUSTIFIED. MORE IMPORTANTLY, SINCE GRO IS NOT SPECIFICALLY DESIGNED FOR THE REFERRED TSA, IT MIGHT BE A POTENTIAL TOOL FOR IMPROVING ANY EXISTING METHOD THAT ADOPTS THE SAME SOLUTION REPRESENTATION.",1,0,1,0,Capacitated Arc Routing Problem,Capacitated Arc Routing Problem,,,
"BEULLENS P, 2003, EUR J OPER RES",A GUIDED LOCAL SEARCH HEURISTIC FOR THE CAPACITATED ARC ROUTING PROBLEM,"THIS PAPER PRESENTS A NEW LOCAL SEARCH ALGORITHM FOR THE CAPACITATED ARC ROUTING PROBLEM (CARP). THE PROCEDURE USES SINGLE VEHICLE MOVES AND MOVES THAT OPERATE ON TWO ROUTES, BOTH DERIVED FROM A NODE ROUTING CONTEXT BUT PROPERLY ADAPTED TO WORK WELL FOR ARC ROUTING PROBLEMS. WE COMBINE THE ALGORITHM WITH THE META-HEURISTIC GUIDED LOCAL SEARCH AND FURTHER USE THE MECHANISMS OF NEIGHBOR LISTS AND EDGE MARKING TO IMPROVE THE SOLUTION QUALITY AND TO SAVE COMPUTATION TIME. EXPERIMENTS ON STANDARD BENCHMARK PROBLEMS FROM THE LITERATURE SHOW THAT OUR ALGORITHM OUTPERFORMS THE EXISTING HEURISTICS FOR THE CARP. ON A SET OF NEW TEST PROBLEMS, THE LOCAL SEARCH APPROACH CONSISTENTLY PRODUCES HIGH QUALITY SOLUTIONS AND OFTEN DETECTS AN OPTIMAL SOLUTION WITHIN LIMITED COMPUTATION TIME. (C) 2002 ELSEVIER SCIENCE B.V. ALL RIGHTS RESERVED.",1,0,1,0,Capacitated Arc Routing Problem,Capacitated Arc Routing Problem,,,
"CHEN Y, 2016, EUR J OPER RES",A HYBRID METAHEURISTIC APPROACH FOR THE CAPACITATED ARC ROUTING PROBLEM,"THE CAPACITATED ARC ROUTING PROBLEM (CARP) IS A DIFFICULT COMBINATORIAL OPTIMIZATION PROBLEM THAT HAS BEEN INTENSIVELY STUDIED IN THE LAST DECADES. WE PRESENT A HYBRID METAHEURISTIC APPROACH (HMA) TO SOLVE THIS PROBLEM WHICH INCORPORATES AN EFFECTIVE LOCAL REFINEMENT PROCEDURE, COUPLING A RANDOMIZED TABU THRESHOLDING PROCEDURE WITH AN INFEASIBLE DESCENT PROCEDURE, INTO THE MEMETIC FRAMEWORK. OTHER DISTINGUISHING FEATURES OF HMA INCLUDE A SPECIALLY DESIGNED ROUTE-BASED CROSSOVER OPERATOR FOR SOLUTION RECOMBINATION AND A DISTANCE-AND-QUALITY BASED REPLACEMENT CRITERION FOR POOL UPDATING. EXTENSIVE EXPERIMENTAL STUDIES SHOW THAT HMA IS HIGHLY SCALABLE AND IS ABLE TO QUICKLY IDENTIFY EITHER THE BEST KNOWN RESULTS OR IMPROVED BEST KNOWN RESULTS FOR ALMOST ALL CURRENTLY AVAILABLE CARP BENCHMARK INSTANCES. IN PARTICULAR, IT DISCOVERS AN IMPROVED BEST KNOWN RESULT FOR 15 BENCHMARK INSTANCES (6 CLASSICAL INSTANCES AND 9 LARGE-SIZED INSTANCES WHOSE OPTIMA ARE UNKNOWN). FURTHERMORE, WE ANALYZE SOME KEY ELEMENTS AND PROPERTIES OF THE HMA-CARP ALGORITHM TO BETTER UNDERSTAND ITS BEHAVIOR. (C) 2016 ELSEVIER B.V. ALL RIGHTS RESERVED.",1,0,1,1,Capacitated Arc Routing Problem,Capacitated Arc Routing Problem,,,
"LIU T, 2013, INT J PROD RES",A MEMETIC ALGORITHM WITH ITERATED LOCAL SEARCH FOR THE CAPACITATED ARC ROUTING PROBLEM,"THE CAPACITATED ARC ROUTING PROBLEM (CARP) IS A DIFFICULT VEHICLE ROUTING PROBLEM, WHERE GIVEN AN UNDIRECTED GRAPH, THE OBJECTIVE IS TO MINIMIZE THE TOTAL COST OF ALL VEHICLE TOURS THAT SERVE ALL REQUIRED EDGES UNDER VEHICLE CAPACITY CONSTRAINTS. IN THIS PAPER, A MEMETIC ALGORITHM WITH ITERATED LOCAL SEARCH (MAILS) IS PROPOSED TO SOLVE THIS PROBLEM. THE PROPOSED MAILS INCORPORATES A NEW CROSSOVER OPERATOR, I.E., THE LONGEST COMMON SUBSTRING CROSSOVER (LCSX), AN ITERATED LOCAL SEARCH (ILS) AND A PERTURBATION MECHANISM INTO THE FRAMEWORK OF THE MEMETIC ALGORITHM (MA). THE PROPOSED MAILS IS EVALUATED ON THE CARP BENCHMARK INSTANCES AND COMPUTATIONAL RESULTS SHOW THAT THE MAILS IS VERY COMPETITIVE.",1,0,1,1,Capacitated Arc Routing Problem,Capacitated Arc Routing Problem,,,
"LIU M, 2012, 2012 SIXTH INTERNATIONAL CONFERENCE ON GENETIC AND EVOLUTIONARY COMPUTING (ICGEC)",A MEMETIC ALGORITHM WITH RANDOM KEY CROSSOVER AND MODIFIED NEIGHBORHOOD SEARCH FOR THE SOLUTION OF CAPACITATED ARC ROUTING PROBLEMS,"CAPACITATED ARC ROUTING PROBLEM (CARP) IS A WELL KNOWN COMBINATORIAL OPTIMIZATION PROBLEM AND EXISTING ALGORITHMS REQUIRE NUMEROUS FUNCTION EVALUATIONS TO SOLVE THEM. IN ORDER TO DEVELOP THE CAPABILITY TO SOLVE DYNAMIC CARP PROBLEMS, THERE IS A NEED TO FURTHER IMPROVE THE EFFICIENCY OF THESE ALGORITHMS. THE AIM OF THIS WORK IS TO DEVELOP AN ALGORITHM THAT IS CAPABLE OF SOLVING CARP INSTANCES EFFICIENTLY WITHIN A LIMITED COMPUTATIONAL BUDGET OF 50,000 FUNCTION (SOLUTION) EVALUATIONS. THE PROPOSED ALGORITHM IS ESSENTIALLY A MEMETIC ALGORITHM EMBEDDED WITH RANDOM KEY CROSSOVERS AND A MODIFIED NEIGHBORHOOD SEARCH TO IMPROVE ITS RATE OF CONVERGENCE. THE PERFORMANCE OF THE ALGORITHM IS COMPARED WITH A RECENTLY PROPOSED MEMETIC ALGORITHM (MAENS) ACROSS THREE SETS OF BENCHMARKS (GDB, VAL, EGL). THE RESULTS OBTAINED USING THE PROPOSED ALGORITHM ARE BETTER FOR ALL THE ABOVE INSTANCES CLEARLY HIGHLIGHTING ITS POTENTIAL USE FOR DYNAMIC CARP PROBLEMS.",1,0,1,1,Capacitated Arc Routing Problem,Capacitated Arc Routing Problem,,,
"ZHANG W, 2015, KNOWLEDGE SCIENCE, ENGINEERING AND MANAGEMENT, KSEM 2015",A PARTITIONING ALGORITHM FOR SOLVING CAPACITATED ARC ROUTING PROBLEM IN WAYS OF RANKING FIRST CUTTING SECOND,"CAPACITATED ARC ROUTING PROBLEM (CARP) IS ONE OF THE HOT ISSUES OF LOGISTICS RESEARCH. SPECIFICALLY, RANKING FIRST CUTTING SECOND (RFCS) COULD BE USED. THIS RESEARCH PROPOSED A NOVEL PARTITIONING ALGORITHM - THE MULTI-LABEL ALGORITHM WHICH OBTAINED BETTER TSP PATHS MEETING THE BACKPACK LIMIT ON THE BASIS OF A COMPLETE TSP RETURN. IN ADDITION, BY EXPERIMENTAL VERIFICATION ON QUESTIONS IN THE STANDARD QUESTION DATABASE, THE EXPERIMENTAL RESULTS SHOWED THAT COMPARED WITH GENERAL PARTITIONING ALGORITHMS, FOR THE SAME COMPLETE TSP RETURN, MANY TSP PATHS WITH THE SHORTEST TOTAL LENGTH COULD BE OBTAINED BY THE MULTI-LABEL ALGORITHM.",1,0,1,0,Capacitated Arc Routing Problem,Capacitated Arc Routing Problem,,,
"YE Z, 2016, 2016 IEEE CONGRESS ON EVOLUTIONARY COMPUTATION (CEC)",A PRELIMINARY STUDY ON DISTANCE SELECTION IN PROBABILISTIC MEMETIC FRAMEWORK FOR CAPACITATED ARC ROUTING PROBLEM,"MEMETIC ALGORITHMS (MAS), WHICH HAVE MATERIALIZED AS A FUSION OF POPULATION BASED GLOBAL SEARCH AND INDIVIDUAL LIFETIME LEARNING (I.E., LOCAL SEARCH) IN THE LITERATURE, HAVE BEEN WIDELY USED IN REAL WORLD APPLICATIONS TO SOLVE COMPLEX OPTIMIZATION PROBLEMS. THE BALANCE OF GLOBAL AND LOCAL SEARCH IN MA PLAYS A KEY ROLE IN DEFINING THE PERFORMANCE OF MA IN PROBLEM SOLVING. THE PROBABILISTIC MEMETIC FRAMEWORK (PMF) WAS THUS INTRODUCED TO MODEL MA AS A PROCESS INVOLVING THE DECISION OF EMBRACING THE SEPARATE ACTIONS OF GLOBAL OR LOCAL SEARCH. PMF BALANCES THESE TWO ACTIONS BY GOVERNING THE LOCAL SEARCH INTENSITY OF EACH INDIVIDUAL BASED ON A THEORETICAL UPPER BOUND DERIVED WHILE THE SEARCH PROGRESSES. TO USE PMF FOR SOLVING COMBINATORIAL OPTIMIZATION PROBLEMS, ACCORDING TO OUR PREVIOUS STUDY [1], WE NOTE THAT THE APPROPRIATE SELECTION OF A DISTANCE METRIC FOR ESTIMATING THE LOCAL SEARCH INTENSITY IS A CRITICAL ROLE. NEVERTHELESS, TO THE BEST OF OUR KNOWLEDGE, LITTLE OR NO RESEARCH WORKS IN THE LITERATURE HAS STUDIED ON SUITABLE DISTANCE METRIC FOR PMF IN THE CONTEXT OF COMBINATORIAL OPTIMIZATION PROBLEMS. IN THIS PAPER, WE ATTEMPT TO FILL THIS GAP BY PRESENTING A PRELIMINARY STUDY ON THE SELECTION OF DISTANCE METRIC IN PMF FOR CAPACITATED ARC ROUTING PROBLEM (CARP). IN PARTICULAR, WE FIRST ANALYZE THE SUITABILITY OF 4 EXISTING POPULAR DISTANCE METRICS USED IN COMBINATORIAL OPTIMIZATION FOR SOLVING CARP. SUBSEQUENTLY A SCORE BASED ON CLOSENESS OF NEIGHBORHOOD AND FITNESS LANDSCAPE CORRELATION IS PROPOSED TO QUANTIFY THE SUITABILITY OF A DISTANCE METRIC IN ESTIMATING THE LOCAL SEARCH INTENSITY FOR PMF IN THE CONTEXT OF COMBINATORIAL OPTIMIZATION. EXPERIMENTAL STUDY ON 24 EGL CARP BENCHMARK INSTANCES HIGHLIGHTED THE SIGNIFICANCE OF CHOICE OF APPROPRIATE DISTANCE METRIC IN PMF FOR SOLVING COMBINATORIAL OPTIMIZATION PROBLEMS, WITH 4 NEW BEST KNOWN CARP SOLUTIONS ESTABLISHED IN THE PRESENT STUDY.",1,0,1,1,Capacitated Arc Routing Problem,Capacitated Arc Routing Problem,,,
